date,low,high,open,close,volume
2016-08-18 00:00:00,573,576.99,574.45,574.09,3964.9884295001
2016-08-19 00:00:00,572.68,576.99,574.05,573.67,4038.3030006401
2016-08-20 00:00:00,572.38,583.92,573.68,581.87,3581.2242534901
2016-08-21 00:00:00,579.34,583.99,581.72,581.29,2442.63374814
2016-08-22 00:00:00,579.22,586.99,581.34,585.2,4493.4213700701
2016-08-23 00:00:00,577.47,586.77,585.19,582.39,5092.2746250506
2016-08-24 00:00:00,575.29,582.68,582.39,578.47,3857.02318764
2016-08-25 00:00:00,573.12,579,578.68,575.58,4109.1125613201
2016-08-26 00:00:00,574.85,579.86,575.57,579.29,3354.1831710401
2016-08-27 00:00:00,568.95,579.45,579.29,570.84,3059.49308936
2016-08-28 00:00:00,569.65,575.41,570.83,575.41,2587.45426087
2016-08-29 00:00:00,571.24,577.73,575.41,573.21,4569.5624841
2016-08-30 00:00:00,572.53,576.83,573.21,574.95,4175.84646427
2016-08-31 00:00:00,569.21,575.15,574.95,572.89,4439.6238369401
2016-09-01 00:00:00,568.12,573.31,572.89,573.02,5203.0055657902
2016-09-02 00:00:00,570,577.97,572.94,576.21,4827.4345989501
2016-09-03 00:00:00,574.67,600.99,576.41,600.91,4705.6993606
2016-09-04 00:00:00,597.52,617.13,600.93,611.92,4592.8509818901
2016-09-05 00:00:00,601.63,611.99,611.94,605.69,3010.75003224
2016-09-06 00:00:00,605.47,612.99,605.93,612.99,4169.6978846301
2016-09-07 00:00:00,609.21,618.53,612.99,615.21,4680.9577166002
2016-09-08 00:00:00,613.43,631.3,615.22,627.97,5225.0367726902
2016-09-09 00:00:00,618.25,628.69,627.97,622.07,4502.8655758702
2016-09-10 00:00:00,620.59,626.54,622.07,623.74,2819.13150751
2016-09-11 00:00:00,591.8,630.11,623.58,607.94,4289.6247761003
2016-09-12 00:00:00,603,609.45,607.94,606.74,3986.1472797302
2016-09-13 00:00:00,605.16,609.99,606.86,608.63,3888.0705229203
2016-09-14 00:00:00,608,611.99,608.39,608.43,3744.7431743802
2016-09-15 00:00:00,603.33,609.49,608.47,605.44,3965.6819502007
2016-09-16 00:00:00,603.15,608.1,605.43,607.93,4171.0056327718
2016-09-17 00:00:00,604,608.99,607.95,607.92,2942.64908837
2016-09-18 00:00:00,607.22,611.93,607.92,611.4,3091.4551330405
2016-09-19 00:00:00,607.4,612.46,611.4,608.6,3096.4685379203
2016-09-20 00:00:00,605.6,609.92,608.6,605.6,4601.0328486706
2016-09-21 00:00:00,592.63,605.6,605.6,597,4885.8970405904
2016-09-22 00:00:00,594.78,598.54,597,596.21,3998.4060101401
2016-09-23 00:00:00,595.14,603.3,595.99,602.96,3759.0236907001
2016-09-24 00:00:00,601.08,605.94,602.96,603.68,2646.49759755
2016-09-25 00:00:00,599.42,605.99,603.69,601.67,2577.17870414
2016-09-26 00:00:00,600.02,607.99,601.67,607.08,4292.3272400702
2016-09-27 00:00:00,601.38,607.54,607.04,605.71,4345.5188888505
2016-09-28 00:00:00,603.18,606,605.71,605.04,3710.0120722006
2016-09-29 00:00:00,603.56,606.89,604.96,605.99,4106.8220570607
2016-09-30 00:00:00,605,608.99,605.99,608.99,4626.8193699303
2016-10-01 00:00:00,608.98,617.19,608.99,615.65,3480.0159391101
2016-10-02 00:00:00,608.66,615.9,615.65,612.4,2911.8918914001
2016-10-03 00:00:00,610.7,615.24,612.42,612.99,4436.7828150501
2016-10-04 00:00:00,606.93,613.23,612.99,610.34,5060.8631278902
2016-10-05 00:00:00,609.22,614.24,610.33,613.16,4454.4036950203
2016-10-06 00:00:00,610.3,613.39,613.16,611.88,3920.0753158303
2016-10-07 00:00:00,609.89,618.7,611.78,617.98,5119.9888995404
2016-10-08 00:00:00,617.55,620,618.11,619.5,2793.95535361
2016-10-09 00:00:00,617,619.59,619.46,617.42,2329.86207734
2016-10-10 00:00:00,615.46,619.2,617.43,618.72,3896.5958263701
2016-10-11 00:00:00,618.13,647.03,618.72,642.12,6316.2348127806
2016-10-12 00:00:00,631.91,643.58,642.3,635.79,4334.3754257907
2016-10-13 00:00:00,632,639.85,635.9,635.66,3845.204611851
2016-10-14 00:00:00,624.08,639.99,635.8,638.03,4365.8370246911
